N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"58,700","2,200",+3.89%,100,"3,504,262","5,969,783",55.79,"31,252,584",18.37,8.69,
2,SK하이닉스,"79,400","1,000",+1.28%,"5,000","578,034","728,002",47.09,"3,360,551",25.29,4.25,
3,삼성바이오로직스,"774,000","2,000",-0.26%,"2,500","512,117","66,165",10.23,"70,845",149.10,4.77,
4,NAVER,"311,000","3,500",-1.11%,100,"510,859","164,263",55.18,"984,109",72.49,10.56,
5,LG화학,"709,000","11,000",-1.53%,"5,000","500,500","70,592",35.95,"804,873",122.22,1.84,
6,셀트리온,"318,000","13,000",+4.26%,"1,000","429,280","134,994",21.17,"2,484,371",107.25,11.19,
7,삼성전자우,"50,000","1,500",+3.09%,100,"411,443","822,887",87.44,"2,520,872",15.64,N/A,
8,현대차,"168,000","2,000",-1.18%,"5,000","358,963","213,668",31.80,"1,903,665",24.21,4.32,
9,카카오,"390,000","2,000",-0.51%,500,"343,255","88,014",31.87,"1,011,191",-222.86,-5.81,
10,삼성SDI,"435,500","5,500",+1.28%,"5,000","299,470","68,765",41.79,"323,868",159.99,2.94,
11,LG생활건강,"1,493,000","18,000",+1.22%,"5,000","233,180","15,618",45.23,"21,636",34.05,20.32,
12,현대모비스,"225,500",0,0.00%,"5,000","214,348","95,055",43.66,"278,394",12.28,7.28,
13,삼성물산,"111,000","2,000",+1.83%,100,"207,445","186,887",14.32,"438,381",19.40,4.77,
14,SK텔레콤,"241,500","2,000",-0.82%,500,"195,001","80,746",35.67,"294,072",19.82,3.92,
15,엔씨소프트,"811,000","1,000",-0.12%,500,"178,047","21,954",49.38,"53,405",34.16,14.72,
16,기아차,"42,300",0,0.00%,"5,000","171,469","405,363",38.99,"1,015,037",16.11,6.50,
17,넷마블,"193,000",500,-0.26%,100,"165,607","85,807",22.43,"821,028",79.85,3.54,
18,POSCO,"187,000","1,000",-0.53%,"5,000","163,039","87,187",52.13,"263,898",17.78,4.18,
19,KB금융,"37,800",450,-1.18%,"5,000","157,175","415,808",65.65,"1,843,076",4.95,8.92,
20,SK,"213,500",500,+0.23%,200,"150,219","70,360",22.27,"225,765",-411.37,4.31,
21,SK바이오팜,"188,000","3,500",-1.83%,500,"147,229","78,313",2.13,"682,865",-170.91,-313.66,
22,LG전자,"85,800","2,000",+2.39%,"5,000","140,410","163,648",34.42,"1,361,069",34.43,0.22,
23,신한지주,"29,050",50,-0.17%,"5,000","138,684","477,397",61.96,"2,750,535",4.36,9.09,
24,LG,"79,500",500,-0.62%,"5,000","137,183","172,557",34.97,"230,004",16.97,5.87,
25,SK이노베이션,"148,000","1,500",-1.00%,"5,000","136,849","92,466",23.56,"634,424",-6.06,-0.20,
26,한국전력,"20,500",150,-0.73%,"5,000","131,603","641,964",17.67,"2,455,112",-14.29,-3.42,
27,삼성생명,"64,300","1,100",+1.74%,500,"128,600","200,000",12.17,"986,158",14.30,3.26,
